-2765.32,3,21629,21629,0.573697,0.0170625,1.21373,0.0599856,-0.378914,0.0100145,0.0614289,0.0286767,0.361716,0.0099427,0.00995865,0.0275441,0.649488,0.0194342,-0.764445,0.0203791,0.738602,0.0197619,-0.694992,0.0199474
-2727.86,3,21629,21629,0.591616,0.0175744,1.15898,0.0616818,-0.375388,0.00986423,0.00510215,0.0275056,0.376359,0.00980273,-0.0245821,0.0277882,0.700386,0.0190447,-0.752125,0.0192344,0.724714,0.0198902,-0.689429,0.019911
-2765.32,3,21629,21629,0.573697,0.0170625,1.21373,0.0599856,-0.378914,0.0100145,0.0614289,0.0286767,0.361716,0.0099427,0.00995865,0.0275441,0.649488,0.0194342,-0.764445,0.0203791,0.738602,0.0197619,-0.694992,0.0199474
-2727.86,3,21629,21629,0.591616,0.0175744,1.15898,0.0616818,-0.375388,0.00986423,0.00510215,0.0275056,0.376359,0.00980273,-0.0245821,0.0277882,0.700386,0.0190447,-0.752125,0.0192344,0.724714,0.0198902,-0.689429,0.019911
-2811.61,3,21629,21629,0.593024,0.0174044,1.17598,0.0606882,-0.366972,0.00989834,-0.0343973,0.0276182,0.398821,0.00990736,-0.0670263,0.0282758,0.676548,0.0193414,-0.743276,0.0193793,0.752799,0.0197717,-0.677478,0.0192895
-2721.81,3,21629,21629,0.589411,0.0175711,1.09835,0.0551981,-0.362941,0.00986424,0.0514988,0.0270739,0.378655,0.00983732,0.00957309,0.027726,0.677432,0.0199488,-0.739343,0.019776,0.765979,0.0200252,-0.702121,0.0196643
-2847.24,3,21629,21629,0.601925,0.0167639,1.22812,0.0645671,-0.388692,0.00978326,0.0464325,0.0274416,0.378852,0.00980481,0.0247653,0.028068,0.700501,0.0192977,-0.730468,0.0191255,0.758833,0.0195295,-0.681865,0.0193479
-2705.17,3,21629,21629,0.586245,0.0170679,1.20785,0.0627009,-0.370776,0.00972304,0.0600432,0.0266096,0.353533,0.00972255,0.0118348,0.0266539,0.712648,0.0196981,-0.731999,0.0196399,0.741223,0.0196841,-0.726579,0.0200213
-2814.76,3,21629,21629,0.591519,0.0169983,1.12244,0.0540953,-0.377832,0.00973835,0.00334027,0.0271614,0.364624,0.00971521,0.00278201,0.0269949,0.715777,0.0189572,-0.764503,0.0194398,0.736877,0.0201013,-0.696886,0.0201038
-2738.73,3,21629,21629,0.591808,0.0171368,1.12745,0.0552009,-0.371914,0.00975093,0.0236095,0.0273819,0.368398,0.00978091,-0.0118804,0.0276422,0.699163,0.0195809,-0.742051,0.0196898,0.764453,0.0200332,-0.683591,0.0196045
-2824.07,3,21629,21629,0.575381,0.0171451,1.08632,0.0510988,-0.377605,0.00972478,0.013242,0.0270852,0.371724,0.00973662,-0.0105383,0.0273216,0.669525,0.019793,-0.753664,0.0202982,0.779814,0.019795,-0.722639,0.0194545
