-9378.29,3,0.572694,0.00939679,1.14714,0.0303042,-0.381513,0.00536531,0.00902681,0.0151051,0.367058,0.0053331,-0.0190121,0.0147642,0.68523,0.0104678,-0.761523,0.010799,0.756661,0.0109866,-0.700561,0.0109843
87946.9,3,0.592198,0.0092801,1.18732,0.0326181,-0.377907,0.00536043,0.01998,0.0149304,0.376501,0.00536287,-0.00594551,0.0150624,0.709255,0.0104971,-0.737022,0.0104664,0.736007,0.0109403,-0.696905,0.0109402
144663,3,0.60038,0.00911163,1.22245,0.0343517,-0.373295,0.00527738,0.0212992,0.0145841,0.371333,0.00528859,-0.0135156,0.0145165,0.699587,0.0104612,-0.758053,0.0105561,0.763116,0.0109124,-0.69206,0.010721
184233,3,0.580703,0.00924368,1.19949,0.0323722,-0.378375,0.00536768,-0.00432415,0.0150474,0.368972,0.00534993,0.00217371,0.0149591,0.689495,0.0104759,-0.754622,0.0106896,0.745795,0.0108792,-0.698418,0.0108932
216760,3,0.574705,0.00940844,1.15147,0.03055,-0.366921,0.00537037,0.034549,0.0151142,0.370053,0.00534169,-0.0334297,0.0151199,0.684988,0.0105914,-0.755791,0.010779,0.748106,0.0111534,-0.696783,0.0110255
242188,3,0.578335,0.00941205,1.19785,0.0332275,-0.373846,0.00539833,0.00691995,0.0154294,0.37902,0.00540938,-0.0189518,0.0153919,0.68255,0.010538,-0.750273,0.0107215,0.740378,0.0110145,-0.678867,0.010855
263718,3,0.592969,0.00918256,1.23343,0.0338151,-0.370139,0.00540525,0.0245366,0.0150763,0.371072,0.00539056,-0.00511159,0.0150568,0.679968,0.01051,-0.762447,0.0107584,0.740128,0.0110709,-0.676618,0.0108962
281279,3,0.5762,0.00923692,1.16013,0.0300919,-0.365012,0.00534976,-9.67196e-05,0.0145727,0.380062,0.00537392,-0.00286404,0.014986,0.690064,0.0106489,-0.751654,0.010764,0.790114,0.0112203,-0.679006,0.0105965
298715,3,0.577658,0.00927477,1.18052,0.0313489,-0.384094,0.00534582,0.0114147,0.015049,0.370561,0.00533117,-0.0185061,0.0149993,0.69443,0.0104223,-0.750165,0.0105467,0.75736,0.0109794,-0.690675,0.0108609
313124,3,0.589007,0.00912536,1.21951,0.0326812,-0.382047,0.00535993,0.00437052,0.0150711,0.368158,0.00536731,0.00348399,0.0151047,0.683851,0.010411,-0.756228,0.0107398,0.76457,0.0110063,-0.676749,0.0108294
